City,Client ID,Client Name,Number of Records,Order ID,Zip Code,Goods Category,Goods Sub-Category,Profit,Region,Row ID,Office City Sales,State
Chicago,94,Eddie House Mueller,1,44231,60601,Office Furniture,Chairs & Chairmats,116,Central,6243,6276,Illinois
Crystal Lake,3396,Stuart Wiley,1,87541,60014,Office Furniture,Chairs & Chairmats,2207,Central,18988,3198,Illinois
Tinley Park,50,Dawn Bailey,1,87710,60477,Office Furniture,Chairs & Chairmats,1585,Central,23945,2297,Illinois
West Lafayette,1778,Ray Oakley,1,89953,47906,Office Furniture,Chairs & Chairmats,-1207,Central,25493,973,Indiana
La Porte,2666,Christopher Horner,1,87838,46350,Office Furniture,Chairs & Chairmats,200,Central,23922,887,Indiana
Jeffersonville,1417,Dorothy Huff,1,90542,47130,Office Furniture,Chairs & Chairmats,-1086,Central,20363,902,Indiana
Jeffersonville,1433,Frances Jackson,1,86828,47130,Office Furniture,Chairs & Chairmats,1400,Central,20124,4286,Indiana
West Lafayette,1778,Ray Oakley,1,89953,47906,Office Furniture,Chairs & Chairmats,1261,Central,25494,2721,Indiana
New Albany,1512,Lawrence Koch,1,90304,47150,Office Furniture,Chairs & Chairmats,-636,Central,26001,1087,Indiana
Merrillville,1464,Evelyn Galloway,1,86398,46410,Office Furniture,Chairs & Chairmats,934,Central,26185,1353,Indiana
Vincennes,1281,Pauline Denton,1,89117,47591,Office Furniture,Chairs & Chairmats,2616,Central,24059,8844,Indiana
Columbus,597,Alexandra Wise,1,86321,47201,Office Furniture,Chairs & Chairmats,-210,Central,25713,412,Indiana
West Lafayette,1778,Ray Oakley,1,89950,47906,Office Furniture,Chairs & Chairmats,-158,Central,23760,1011,Indiana
Vincennes,1281,Pauline Denton,1,89112,47591,Office Furniture,Chairs & Chairmats,875,Central,22125,1775,Indiana
Merrillville,1486,Stacy Barbour,1,86474,46410,Office Furniture,Chairs & Chairmats,1644,Central,18719,2382,Indiana
Marion,2330,Kara Foster,1,90972,52302,Office Furniture,Chairs & Chairmats,-1116,Central,25862,1703,Iowa
Dubuque,2151,Melinda Rogers,1,90404,52001,Office Furniture,Chairs & Chairmats,-163,Central,22555,249,Iowa
Muscatine,1360,Arlene Gibbons,1,89598,52761,Office Furniture,Chairs & Chairmats,-270,Central,19083,725,Iowa
Muscatine,1360,Arlene Gibbons,1,89597,52761,Office Furniture,Chairs & Chairmats,-150,Central,20005,327,Iowa
Marshalltown,2794,Connie Bunn,1,87557,50158,Office Furniture,Chairs & Chairmats,206,Central,18333,1121,Iowa
Sioux City,2796,Cindy McLeod,1,87558,51106,Office Furniture,Chairs & Chairmats,162,Central,25235,2576,Iowa
Liberal,2046,Eileen Schwartz,1,88226,67901,Office Furniture,Chairs & Chairmats,1063,Central,22727,4983,Kansas
Leavenworth,3045,Jordan Beard,1,86117,66048,Office Furniture,Chairs & Chairmats,-71,Central,21474,367,Kansas
Newton,1675,Elizabeth Herman,1,89491,67114,Office Furniture,Chairs & Chairmats,1512,Central,23745,2937,Kansas
Hays,2951,Jordan Womble,1,91397,67601,Office Furniture,Chairs & Chairmats,-231,Central,25052,1810,Kansas
Olathe,180,Harold Briggs,1,90784,66062,Office Furniture,Chairs & Chairmats,2004,Central,23315,5731,Kansas
Hutchinson,3042,Tara Gold,1,86110,67501,Office Furniture,Chairs & Chairmats,79,Central,19395,1351,Kansas
Topeka,287,Bruce Norton,1,89764,66614,Office Furniture,Chairs & Chairmats,-140,Central,23019,681,Kansas
Leawood,3046,Andrew Pearce,1,86103,66209,Office Furniture,Chairs & Chairmats,-79,Central,24415,251,Kansas
Lawrence,3044,Alfred F Dixon,1,86111,66044,Office Furniture,Chairs & Chairmats,-165,Central,21369,144,Kansas
Wichita,288,Patricia Cole Blair,1,89769,67212,Office Furniture,Chairs & Chairmats,-394,Central,24893,797,Kansas
Hutchinson,3042,Tara Gold,1,86110,67501,Office Furniture,Chairs & Chairmats,-122,Central,19396,192,Kansas
Manhattan,97,Max McKenna,1,87306,66502,Office Furniture,Chairs & Chairmats,255,Central,24243,1527,Kansas
Wichita,506,Teresa Boyette,1,87362,67212,Office Furniture,Chairs & Chairmats,68,Central,18280,536,Kansas
Walker,1731,Craig Bryan,1,90656,49534,Office Furniture,Chairs & Chairmats,2820,Central,19936,6357,Michigan
Ann Arbor,1404,Clara Bullock,1,86152,48104,Office Furniture,Chairs & Chairmats,-402,Central,19681,2426,Michigan
Burton,391,Suzanne Shannon,1,86387,48509,Office Furniture,Chairs & Chairmats,257,Central,23866,3135,Michigan
Royal Oak,1961,Jacqueline McMahon,1,88861,48073,Office Furniture,Chairs & Chairmats,-506,Central,21347,473,Michigan
Eastpointe,2023,Dan George,1,90762,48021,Office Furniture,Chairs & Chairmats,-822,Central,20037,1736,Michigan
Pontiac,3000,Priscilla Allen,1,87050,48342,Office Furniture,Chairs & Chairmats,-304,Central,22485,367,Michigan
Eastpointe,2023,Dan George,1,90763,48021,Office Furniture,Chairs & Chairmats,-124,Central,25685,159,Michigan
Garden City,2073,Evan Kelley,1,88557,48135,Office Furniture,Chairs & Chairmats,550,Central,24677,1818,Michigan
Port Huron,3327,Bob Gibson,1,87272,48060,Office Furniture,Chairs & Chairmats,-127,Central,18259,356,Michigan
Bay City,1427,Stacy Gould,1,90906,48708,Office Furniture,Chairs & Chairmats,3065,Central,24683,5533,Michigan
Oak Park,2999,Kim McCarthy,1,87046,48237,Office Furniture,Chairs & Chairmats,31,Central,19221,441,Michigan
Westland,2159,Wesley Field,1,90390,48185,Office Furniture,Chairs & Chairmats,-44,Central,22239,69,Michigan
Battle Creek,1405,Crystal Floyd,1,86146,49017,Office Furniture,Chairs & Chairmats,-636,Central,24797,813,Michigan
Sault Sainte Marie,2466,Gilbert Godfrey,1,88149,49783,Office Furniture,Chairs & Chairmats,367,Central,22581,1862,Michigan
Canton,1816,Danielle Schneider,1,86000,48187,Office Furniture,Chairs & Chairmats,836,Central,20887,2209,Michigan
Hopkins,1522,Earl Watts,1,89957,55305,Office Furniture,Chairs & Chairmats,-900,Central,23471,2027,Minnesota
Shoreview,868,Sharon Ellis,1,91198,55126,Office Furniture,Chairs & Chairmats,-1966,Central,24762,2697,Minnesota
Savage,645,Jessie Pugh,1,90737,55378,Office Furniture,Chairs & Chairmats,-1298,Central,20952,1551,Minnesota
Brooklyn Center,2202,Laurie Howe,1,86059,55429,Office Furniture,Chairs & Chairmats,166,Central,22090,1133,Minnesota
Apple Valley,2161,Judith Wallace,1,90391,55124,Office Furniture,Chairs & Chairmats,-125,Central,24944,468,Minnesota
Oakdale,3069,Tiffany Merrill,1,88191,55128,Office Furniture,Chairs & Chairmats,638,Central,21027,1894,Minnesota
Burnsville,2204,Oscar Ford,1,86051,55337,Office Furniture,Chairs & Chairmats,-158,Central,23920,169,Minnesota
Burnsville,2204,Oscar Ford,1,86057,55337,Office Furniture,Chairs & Chairmats,-3404,Central,25545,1547,Minnesota
Roseville,447,Valerie Moon,1,90449,55113,Office Furniture,Chairs & Chairmats,-83,Central,19694,160,Minnesota
Apple Valley,2161,Judith Wallace,1,90395,55124,Office Furniture,Chairs & Chairmats,1055,Central,24892,1887,Minnesota
Brooklyn Center,2202,Laurie Howe,1,86050,55429,Office Furniture,Chairs & Chairmats,357,Central,22259,1635,Minnesota
Hazelwood,2132,Philip Hawkins,1,90083,63042,Office Furniture,Chairs & Chairmats,126,Central,24479,478,Missouri
Webster Groves,1893,Melanie Burgess,1,91262,63119,Office Furniture,Chairs & Chairmats,589,Central,22858,929,Missouri
Saint Peters,1093,Roy Briggs,1,90131,63376,Office Furniture,Chairs & Chairmats,-239,Central,21659,193,Missouri
Gladstone,2131,Mary Hewitt,1,90090,64118,Office Furniture,Chairs & Chairmats,-477,Central,21159,2812,Missouri
Omaha,1103,Sidney Bowling,1,90980,68046,Office Furniture,Chairs & Chairmats,-282,Central,23783,177,Nebraska
Kearney,388,Roger Schwartz,1,90344,68847,Office Furniture,Chairs & Chairmats,618,Central,23214,2591,Nebraska
Lincoln,389,Joel Buckley,1,90338,68502,Office Furniture,Chairs & Chairmats,1273,Central,23853,1845,Nebraska
North Platte,2047,Wallace D McNeill,1,88231,69101,Office Furniture,Chairs & Chairmats,226,Central,25648,2129,Nebraska
Omaha,1103,Sidney Bowling,1,90979,68046,Office Furniture,Chairs & Chairmats,-183,Central,20474,118,Nebraska
Bismarck,2910,Tina Jiang,1,87400,58501,Office Furniture,Chairs & Chairmats,2170,Central,19428,3145,North Dakota
Ponca City,2783,Caroline Duffy,1,86983,74601,Office Furniture,Chairs & Chairmats,140,Central,19703,932,Oklahoma
Owasso,2643,Vincent Cash Bryant,1,87510,74055,Office Furniture,Chairs & Chairmats,2166,Central,18316,3140,Oklahoma
Oklahoma City,2631,Cecil Shields,1,85923,73120,Office Furniture,Chairs & Chairmats,1149,Central,25135,2503,Oklahoma
Tulsa,2837,Leslie Hawley,1,89804,74133,Office Furniture,Chairs & Chairmats,1020,Central,19338,1888,Oklahoma
Rapid City,2668,Carlos Hanson,1,87834,57701,Office Furniture,Chairs & Chairmats,-614,Central,22188,1486,South Dakota
Aberdeen,2617,Gerald Crabtree,1,91501,57401,Office Furniture,Chairs & Chairmats,1096,Central,25479,2539,South Dakota
Arlington,886,Betty Barbour,1,89544,76017,Office Furniture,Chairs & Chairmats,1298,Central,19684,4740,Texas
Port Arthur,59,Rose Lassiter,1,87417,77642,Office Furniture,Chairs & Chairmats,-232,Central,19903,751,Texas
Houston,2274,Marlene Harrison,1,90113,77036,Office Furniture,Chairs & Chairmats,176,Central,24190,1363,Texas
Huntsville,2422,Arlene Wiggins Dalton,1,89053,77340,Office Furniture,Chairs & Chairmats,650,Central,18802,1857,Texas
Lufkin,1368,Patsy Harmon,1,90523,75901,Office Furniture,Chairs & Chairmats,333,Central,24371,1925,Texas
Cedar Hill,1238,April Bowers,1,86083,75104,Office Furniture,Chairs & Chairmats,-323,Central,20584,604,Texas
Haltom City,2118,Sheryl Cole,1,90898,76117,Office Furniture,Chairs & Chairmats,-222,Central,24558,310,Texas
Arlington,886,Betty Barbour,1,89544,76017,Office Furniture,Chairs & Chairmats,-23,Central,19685,28,Texas
Bedford,890,Billie Fowler,1,89547,76021,Office Furniture,Chairs & Chairmats,51,Central,25316,132,Texas
Texarkana,862,Vivian Hodge,1,90453,75503,Office Furniture,Chairs & Chairmats,337,Central,21933,1237,Texas
Watauga,146,Yvonne Fox,1,91090,76148,Office Furniture,Chairs & Chairmats,251,Central,22907,930,Texas
Waxahachie,1143,Phyllis Jacobson,1,86583,75165,Office Furniture,Chairs & Chairmats,1988,Central,26193,6804,Texas
Cleburne,1255,Craig Crabtree,1,89986,76031,Office Furniture,Chairs & Chairmats,1117,Central,26233,1769,Texas
Richardson,60,Sheila Warren,1,87420,75080,Office Furniture,Chairs & Chairmats,-180,Central,20427,196,Texas
Amarillo,885,Malcolm Robertson,1,89537,79109,Office Furniture,Chairs & Chairmats,56,Central,19401,1034,Texas
Friendswood,1644,Sam Woodward,1,87344,77546,Office Furniture,Chairs & Chairmats,-251,Central,20565,675,Texas
Bedford,890,Billie Fowler,1,89549,76021,Office Furniture,Chairs & Chairmats,-1685,Central,26012,180,Texas
Lake Jackson,2669,Annie Booth,1,87839,77566,Office Furniture,Chairs & Chairmats,1894,Central,25464,3519,Texas
Mansfield,1561,Edwin Coley,1,88095,76063,Office Furniture,Chairs & Chairmats,1903,Central,22993,3155,Texas
Dallas,1106,Maxine Collier Grady,1,33219,75220,Office Furniture,Chairs & Chairmats,765,Central,4666,14684,Texas
Laredo,1109,Dennis Welch,1,86418,78041,Office Furniture,Chairs & Chairmats,1147,Central,22666,3671,Texas
Texarkana,862,Vivian Hodge,1,90453,75503,Office Furniture,Chairs & Chairmats,298,Central,21934,3600,Texas
Dallas,1106,Maxine Collier Grady,1,45824,75220,Office Furniture,Chairs & Chairmats,1233,Central,6443,11273,Texas
Laredo,1109,Dennis Welch,1,86421,78041,Office Furniture,Chairs & Chairmats,2051,Central,24443,3062,Texas
Greenville,2117,Jack Hatcher,1,90891,75401,Office Furniture,Chairs & Chairmats,4554,Central,20249,6601,Texas
Bedford,890,Billie Fowler,1,89536,76021,Office Furniture,Chairs & Chairmats,1,Central,26011,20,Texas
Dallas,667,Allison Kirby,1,4674,75203,Office Furniture,Chairs & Chairmats,-260,Central,667,3041,Texas
Georgetown,1934,Scott Moore,1,86688,78626,Office Furniture,Chairs & Chairmats,53,Central,19697,562,Texas
Cedar Hill,1238,April Bowers,1,86075,75104,Office Furniture,Chairs & Chairmats,789,Central,20593,1635,Texas
The Colony,1138,Malcolm Floyd,1,86574,75056,Office Furniture,Chairs & Chairmats,-51,Central,19357,192,Texas
Beaumont,889,Elsie G Ferguson,1,89540,77705,Office Furniture,Chairs & Chairmats,147,Central,25307,214,Texas
Bryan,915,Carol Sherrill,1,86356,77803,Office Furniture,Chairs & Chairmats,-489,Central,24953,347,Texas
Carrollton,1237,Eva Simpson,1,86075,75007,Office Furniture,Chairs & Chairmats,790,Central,20592,1146,Texas
Baytown,888,Phyllis Adcock,1,89556,77520,Office Furniture,Chairs & Chairmats,109,Central,23796,299,Texas
Haltom City,2118,Sheryl Cole,1,90894,76117,Office Furniture,Chairs & Chairmats,-257,Central,25384,330,Texas
Oshkosh,2977,Juan Gilbert,1,89048,54901,Office Furniture,Chairs & Chairmats,-177,Central,20852,362,Wisconsin
Green Bay,2333,Megan Woods,1,89611,54302,Office Furniture,Chairs & Chairmats,-122,Central,19441,192,Wisconsin
Appleton,1894,Maureen Herbert Hood,1,91261,54915,Office Furniture,Chairs & Chairmats,2653,Central,23260,3845,Wisconsin
Appleton,2026,Keith Pittman,1,87133,54915,Office Furniture,Chairs & Chairmats,-76,Central,18234,409,Wisconsin
Milwaukee,2957,Francis I Davis,1,90269,53209,Office Furniture,Chairs & Chairmats,858,Central,21816,2023,Wisconsin
Sun Prairie,3228,Thomas Frazier,1,87439,53590,Office Furniture,Chairs & Chairmats,3764,Central,18297,5456,Wisconsin
Manitowoc,2587,Eugene H Walsh,1,91169,54220,Office Furniture,Chairs & Chairmats,-188,Central,21456,345,Wisconsin
Sun Prairie,3192,Melanie Ray,1,86450,53590,Office Furniture,Chairs & Chairmats,183,Central,23219,1788,Wisconsin
Cudahy,1480,Yvonne Ryan,1,90749,53110,Office Furniture,Chairs & Chairmats,49,Central,21231,1331,Wisconsin
Green Bay,2333,Megan Woods,1,89613,54302,Office Furniture,Chairs & Chairmats,1595,Central,23555,2311,Wisconsin
Janesville,2335,Kent Young,1,89615,53545,Office Furniture,Chairs & Chairmats,-181,Central,25801,125,Wisconsin
Janesville,2450,Tonya Miller,1,90325,53545,Office Furniture,Chairs & Chairmats,-116,Central,22350,996,Wisconsin
Galesburg,1793,Derek Jernigan,1,87859,61401,Office Furniture,Office Furnishings,13,Central,21552,381,Illinois
Saint Charles,1080,Colleen Fletcher,1,88465,60174,Office Furniture,Office Furnishings,116,Central,18966,721,Illinois
Elk Grove Village,1687,Ernest Dawson,1,86974,60007,Office Furniture,Office Furnishings,828,Central,25430,1434,Illinois
Palatine,559,Harvey McDonald,1,91153,60067,Office Furniture,Office Furnishings,-96,Central,25168,146,Illinois
Hanover Park,2398,Julian F Wolfe,1,86381,60103,Office Furniture,Office Furnishings,131,Central,20210,190,Illinois
Freeport,1771,Jeff Spivey,1,89110,61032,Office Furniture,Office Furnishings,81,Central,24591,118,Illinois
Glendale Heights,2342,Danny Francis Bell,1,88990,60139,Office Furniture,Office Furnishings,59,Central,22372,85,Illinois
Vernon Hills,540,Ruth Lamm,1,91177,60061,Office Furniture,Office Furnishings,77,Central,21418,480,Illinois
Woodstock,1648,Nina Bowles,1,91047,60098,Office Furniture,Office Furnishings,43,Central,23600,63,Illinois
Tinley Park,443,Chris High,1,88089,60477,Office Furniture,Office Furnishings,88,Central,20161,165,Illinois
